year,country,GDP
2019,美国,2.14332E+13
2019,中国,1.42799E+13
2019,日本,5.08177E+12
2019,德国,3.86112E+12
2019,印度,2.86893E+12
2019,英国,2.82911E+12
2019,法国,2.71552E+12
2019,意大利,2.00358E+12
2019,巴西,1.83976E+12
2019,加拿大,1.73643E+12
2019,俄罗斯,1.69988E+12
2019,韩国,1.64674E+12
2019,澳大利亚,1.39657E+12
2019,西班牙,1.39349E+12
2019,墨西哥,1.26887E+12
2019,印尼,1.11919E+12
2019,荷兰,9.07051E+11
2019,沙特阿拉伯,7.92967E+11
2019,土耳其,7.61425E+11
2019,瑞士,7.03082E+11
2019,波兰,5.95858E+11
2019,泰国,5.43549E+11
2019,比利时,5.33097E+11
2019,瑞典,5.30884E+11
2019,尼日利亚,4.4812E+11
2019,阿根廷,4.45445E+11
2019,奥地利,4.45075E+11
2019,阿联酋,4.21142E+11
2019,挪威,4.03336E+11
2019,以色列,3.94652E+11
2019,爱尔兰,3.88699E+11
2019,菲律宾,3.76796E+11
2019,新加坡,3.72063E+11
2019,香港,3.65712E+11
2019,马来西亚,3.64681E+11
2019,南非,3.51432E+11
2019,丹麦,3.50104E+11
2019,哥伦比亚,3.23616E+11
2019,埃及,3.03092E+11
2019,孟加拉,3.02571E+11
2019,智利,2.82318E+11
2019,巴基斯坦,2.78222E+11
2019,芬兰,2.69296E+11
2019,越南,2.61921E+11
2019,捷克,2.50681E+11
2019,罗马尼亚,2.50077E+11
2019,葡萄牙,2.38785E+11
2019,伊拉克,2.34094E+11
2019,秘鲁,2.26848E+11
2019,希腊,2.09853E+11
2019,新西兰,2.06929E+11
2019,哈萨克斯坦,1.81666E+11
2019,卡塔尔,1.75838E+11
2019,阿尔及利亚,1.71091E+11
2019,匈牙利,1.63469E+11
2019,乌克兰,1.53781E+11
2019,科威特,1.34629E+11
2019,摩洛哥,1.197E+11
2019,厄瓜多尔,1.07436E+11
2019,斯洛伐克,1.0508E+11
2019,波多黎各,1.04989E+11
2019,埃塞俄比亚,95912590628
2019,肯尼亚,95503088538
2019,多米尼加,88941299734
2019,安哥拉,88815697793
2019,斯里兰卡,84008783756
2019,危地马拉,76710355347
2019,阿曼,76331518668
2019,缅甸,76085852617
2019,卢森堡,71104919108
2019,保加利亚,68558815111
2019,加纳,66983634223
2019,巴拿马,66800800000
2019,坦桑尼亚,63177068174
2019,白俄罗斯,63080457022
2019,哥斯达黎加,61801385049
2019,克罗地亚,60752588976
2019,科特迪瓦,58539424929
2019,乌兹别克斯坦,57921286440
2019,乌拉圭,56045912952
2019,立陶宛,54627411860
2019,斯洛文尼亚,54174227308
2019,澳门,53859116535
2019,利比亚,52091152228
2019,黎巴嫩,51991634491
2019,塞尔维亚,51475016532
2019,刚果（金）,50400746171
2019,阿塞拜疆,48047647058
2019,约旦,44502895861
2019,玻利维亚,40895322843
2019,喀麦隆,39007354359
2019,突尼斯,38796687568
2019,巴林,38574069148
2019,巴拉圭,38145288939
2019,乌干达,35165157016
2019,拉脱维亚,34102913582
2019,爱沙尼亚,31471100656
2019,尼泊尔,30641380603
2019,柬埔寨,27089389786
2019,萨尔瓦多,27022640000
2019,洪都拉斯,25095395475
2019,塞浦路斯,24948935408
2019,巴布亚新几内亚,24829107011
2019,特立尼达和多巴哥,24269714809
2019,冰岛,24188038473
2019,塞内加尔,23578084052
2019,赞比亚,23309773922
2019,也门,22581081993
2019,津巴布韦,21440758800
2019,波黑,20164193806
2019,阿富汗,19291104007
2019,苏丹,18902284475
2019,博茨瓦纳,18340480936
2019,老挝,18173839147
2019,格鲁吉亚,17477255545
2019,马里,17279566718
2019,加蓬,16874450215
2019,牙买加,16458071067
2019,布基纳法索,15990803569
2019,莫桑比克,15291448211
2019,阿尔巴尼亚,15279183289
2019,马耳他,14989415684
2019,贝宁,14390709094
2019,马达加斯加,14114631280
2019,毛里求斯,14048430518
2019,蒙古,13996719329
2019,亚美尼亚,13672802157
2019,巴哈马,13578800000
2019,文莱,13469422958
2019,尼日尔,12911689659
2019,马其顿,12547040498
2019,尼加拉瓜,12520915291
2019,纳米比亚,12366528259
2019,几内亚,12296665331
2019,刚果（布）,12267392146
2019,摩尔多瓦,11968713370
2019,乍得,11314951342
2019,赤道几内亚,11026774945
2019,卢旺达,10354417725
2019,海地,8498981820
2019,吉尔吉斯斯坦,8454619607
2019,塔吉克斯坦,8116626794
2019,马拉维,7666704427
2019,毛里塔尼亚,7600656943
2019,百慕大,7484113000
2019,马尔代夫,5642179170
2019,黑山,5542577964
2019,斐济群岛,5496250694
2019,多哥,5490272413
2019,巴巴多斯,5209000000
2019,圭亚那,5173759527
2019,斯威士兰,4471598726
2019,塞拉利昂,4121733705
2019,苏里南,3697371949
2019,吉布提,3324634256
2019,安道尔,3154057987
2019,库拉索,3101787709
2019,利比里亚,3070518100
2019,布隆迪,3012334881
2019,不丹,2530547157
2019,莱索托,2376328637
2019,中非,2220307368
2019,圣卢西亚,2122450629
2019,东帝汶,2017924900
2019,佛得角,1981845740
2019,伯利兹,1879613600
2019,冈比亚,1826073739
2019,塞舌尔,1703387387
2019,安提瓜和巴布达,1661962962
2019,所罗门群岛,1589913622
2019,几内亚比绍,1339449165
2019,格林纳达,1210603703
2019,特克斯和凯科斯群岛,1197415000
2019,科摩罗,1165839927
2019,圣基茨和尼维斯,1053244444
2019,瓦努阿图,934239973
2019,萨摩亚,852250190
2019,圣文森特和格林纳丁斯,824718518
2019,多米尼克,582403703
2019,汤加,512350059
2019,圣多美和普林西比,418637388
2019,帕劳,268354919
2019,基里巴斯,194647201
2019,瑙鲁,118223430
2019,图瓦卢,47271463
